Station Name: DUBLIN (Glasnevin)
Station Height: 18 M 
Latitude:53.370  ,Longitude: -6.270


date: -   09 to 09 utc
rain: -   Precipitation Amount (mm)
maxt: -   Maximum Temperature (C)
mint: -   Minimum Temperature (C)
gmin: -   09utc Grass Minimum Temperature (C)
soil: -   10cm Soil Temperature (C)
ind:  -	  Indicator

date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-jan-2017,0,0.200,0,6.5,0,2.7,0.5, 
02-jan-2017,0,0.000,0,6.3,0,0.5,-4.1, 
03-jan-2017,0,0.000,0,5.9,0,0.3,-4.3, 
04-jan-2017,4,0.000,0,7.1,0,3.0,2.2, 
05-jan-2017,0,0.400,0,11.3,0,2.4,-1.5, 
06-jan-2017,0,2.600,0,12.9,0,3.7,2.1, 
07-jan-2017,0,0.300,0,11.3,0,10.1,7.7, 
08-jan-2017,0,1.700,0,11.6,0,8.7,5.4, 
09-jan-2017,0,0.100,0,8.9,0,6.6,4.5, 
10-jan-2017,0,0.000,0,11.6,0,5.6,3.7, 
11-jan-2017,0,0.900,0,8.6,0,7.2,5.4, 
12-jan-2017,0,0.700,0,4.1,0,3.4,2.1, 
13-jan-2017,0,0.000,0,4.6,0,0.9,-1.8, 
14-jan-2017,0,0.100,0,9.2,0,1.1,-1.3, 
15-jan-2017,0,0.100,0,10.9,0,3.2,1.4, 
16-jan-2017,0,0.100,0,10.6,0,9.0,7.7, 
17-jan-2017,0,0.200,0,10.5,0,9.2,8.1, 
18-jan-2017,4,0.000,0,10.3,0,8.4,6.6, 
19-jan-2017,0,0.000,0,8.7,0,8.2,7.0, 
20-jan-2017,0,0.000,0,9.7,0,7.4,6.6, 
21-jan-2017,0,0.000,0,5.1,1,-2.2,-6.7, 
22-jan-2017,0,0.000,0,6.2,1,-2.0,-4.8, 
23-jan-2017,0,0.000,0,12.3,1,-0.5,-5.3, 
24-jan-2017,0,0.000,0,13.8,0,2.0,-0.9, 
25-jan-2017,0,0.000,0,12.2,0,9.4,6.7, 
26-jan-2017,0,0.000,0,7.2,0,5.8,4.6, 
